Time(s),Force_X,Force_Y(N),Force_Z
0.4216141700744629,-0.00,-0.00,-0.01
0.5206394195556641,-0.00,-0.00,-0.00
0.9807660579681396,0.00,-0.00,-0.00
1.4677848815917969,-0.00,-0.00,0.00
1.9704482555389404,0.00,-0.00,-0.00
2.4891769886016846,0.00,0.00,0.00
2.9201388359069824,-0.00,0.00,-0.00
3.595862627029419,-0.00,0.00,-0.00
4.205487251281738,-0.00,-0.00,0.00
4.4072394371032715,-0.00,-0.00,-0.00
4.996797561645508,-0.00,-0.00,0.00
5.4797139167785645,-0.00,-0.00,0.00
5.9607086181640625,0.00,-0.00,0.00
6.441735506057739,0.00,-0.00,0.00
6.921187400817871,0.00,-0.00,0.00
7.5024120807647705,0.00,-0.00,-0.00
7.976945161819458,0.00,-0.00,-0.00
8.454619646072388,-0.00,-0.00,-0.00
8.935287714004517,-0.00,-0.00,-0.00
9.412737846374512,-0.00,-0.00,-0.00
9.990354299545288,-0.00,0.00,0.00
10.468986749649048,-0.00,0.00,0.00
10.947656393051147,-0.00,-0.00,-0.00
11.427461624145508,0.00,0.00,0.00
11.907928466796875,0.01,0.00,0.02
12.482724905014038,0.00,0.00,0.00
12.965824127197266,0.00,-0.00,0.00
13.44132947921753,-0.00,-0.01,-0.00
13.92265510559082,0.00,-0.00,-0.00
14.496421575546265,0.00,0.00,0.00
14.976106405258179,0.00,-0.00,0.00
15.456647634506226,0.00,-0.00,0.00
15.935187339782715,0.00,0.00,0.00
16.460837364196777,-0.00,-0.00,0.00
16.987934350967407,-0.01,-0.00,-0.00
17.402175664901733,-0.00,-0.00,0.01
17.93087339401245,-0.00,0.00,0.00
18.668363094329834,0.01,-0.00,-0.01
18.98680543899536,0.00,0.00,-0.02
19.512194633483887,-0.00,0.00,-0.00
19.977986097335815,0.00,-0.00,-0.01
20.466522455215454,0.01,-0.00,0.00
21.077470779418945,-0.00,-0.00,0.00
21.467968225479126,-0.00,0.00,-0.01
21.9485502243042,-0.01,-0.00,-0.01
22.425398111343384,-0.00,-0.00,-0.01
23.000929832458496,-0.00,-0.00,0.00
23.48131036758423,-0.09,-0.00,-0.00
23.961439847946167,-0.01,-0.00,-0.01
24.43964695930481,0.00,-0.00,0.00
24.91921639442444,-0.00,-0.00,-0.00
25.494953393936157,0.01,-0.00,0.00
25.975773811340332,-0.00,-0.00,-0.01
26.454105377197266,0.00,0.00,-0.01
26.93471622467041,0.00,-0.00,-0.00
27.414458751678467,0.00,0.00,-0.00
27.990793704986572,0.00,-0.00,0.00
28.469850540161133,0.00,-0.00,-0.00
28.949912548065186,0.01,-0.01,0.00
29.429660320281982,0.00,-0.00,-0.00
29.911125659942627,0.00,-0.01,0.00
30.483083486557007,0.00,-0.00,0.00
30.96384286880493,0.00,-0.00,-0.00
31.443110466003418,0.00,-0.00,0.00
31.922003507614136,0.01,-0.00,0.00
32.49804615974426,0.00,0.00,0.00
32.978816509246826,0.01,-0.00,0.00
33.45680570602417,0.01,0.00,0.00
33.93648982048035,0.01,0.00,0.00
34.41557598114014,0.01,0.00,0.00
34.99110770225525,0.01,0.00,-0.01
35.47059750556946,0.00,-0.00,-0.01
35.95020246505737,0.00,0.00,-0.01
36.42989802360535,0.00,-0.00,-0.00
36.909743309020996,0.00,-0.00,-0.00
37.4850058555603,0.01,-0.00,0.01
37.964484214782715,0.01,0.00,0.00
38.44400191307068,0.00,-0.00,0.00
38.923707723617554,0.01,0.00,0.01
39.451876401901245,-0.01,0.00,-0.02
39.9309139251709,-0.00,-0.00,-0.00
40.41050696372986,-0.00,0.00,-0.01
40.985997676849365,-0.00,-0.00,-0.00
41.46551251411438,-0.00,-0.00,-0.01
41.94560122489929,-0.00,0.00,-0.00
42.424800157547,-0.00,0.00,-0.01
43.00024485588074,0.00,-0.00,-0.01
43.48002338409424,0.00,-0.00,-0.01
43.95963668823242,0.00,-0.00,-0.01
44.44209313392639,-0.00,-0.00,-0.01
44.918890714645386,0.00,-0.00,-0.01
45.49447560310364,0.00,0.00,0.00
45.974164724349976,0.00,-0.00,-0.01
46.45345091819763,0.00,-0.00,-0.00
46.959845781326294,0.00,-0.00,-0.00
47.40863656997681,0.00,-0.00,0.00
47.954044580459595,0.01,-0.00,-0.01
48.505959272384644,-0.00,-0.00,0.01
49.00878596305847,0.01,0.00,0.00
49.438822507858276,-0.01,0.00,-0.00
49.986053705215454,-0.01,0.00,-0.00
50.430105686187744,-0.01,-0.00,-0.01
50.991050720214844,0.01,-0.00,-0.01
51.43908977508545,0.00,0.00,0.00
51.99825882911682,-0.01,0.00,-0.00
52.444329023361206,-0.00,-0.00,0.00
53.00554537773132,0.01,0.00,0.00
53.57857584953308,0.00,-0.01,-0.00
