Time(s),Force_X,Force_Y(N),Force_Z
2.792592763900757,0.00,-0.02,0.02
2.9080018997192383,0.00,-0.01,-0.00
3.019827127456665,0.00,-0.01,-0.02
3.129850387573242,-0.00,-0.00,-0.02
3.236154317855835,0.01,0.00,-0.03
3.3321750164031982,-0.02,-0.00,-0.02
3.434715509414673,-0.00,-0.00,-0.00
3.546710252761841,0.01,0.00,0.02
3.9711039066314697,0.00,0.02,-0.01
4.500199794769287,-0.01,-0.02,0.01
4.92200779914856,-0.01,0.01,-0.01
5.465054750442505,-0.01,0.02,0.02
5.991866588592529,-0.01,-0.00,0.00
6.450495719909668,-0.01,-0.02,-0.02
6.968287944793701,0.00,-0.00,-0.00
7.504888296127319,0.00,0.01,-0.02
7.927279949188232,0.00,0.00,0.01
8.47655725479126,0.00,0.00,-0.03
9.016990423202515,-0.00,-0.01,0.01
9.48439908027649,-0.01,-0.01,0.01
9.94451117515564,0.05,0.06,-0.02
10.484390258789062,-0.02,-0.01,0.00
10.912733554840088,0.01,-0.02,-0.01
11.429782152175903,-0.01,-0.03,-0.06
11.934411525726318,-0.03,-0.00,-0.01
12.503297805786133,0.00,-0.00,0.01
12.974603652954102,-0.01,-0.01,-0.01
13.458285808563232,-0.01,-0.02,-0.01
13.948204278945923,0.01,-0.00,-0.01
14.413424491882324,-0.01,-0.01,0.01
14.946019649505615,0.00,-0.00,0.00
15.524450063705444,-0.00,-0.00,-0.01
15.963915586471558,0.00,-0.00,0.00
16.518397569656372,-0.00,-0.01,-0.00
16.94854974746704,-0.01,-0.00,-0.00
17.40782356262207,0.00,-0.00,-0.00
17.959976196289062,-0.01,-0.00,-0.02
18.510693073272705,-0.01,-0.01,-0.00
18.956786394119263,-0.01,-0.00,0.00
19.40595030784607,-0.01,-0.00,0.01
19.964022636413574,0.01,-0.00,-0.00
20.412950038909912,0.01,0.00,0.00
20.971153259277344,0.00,0.00,-0.01
21.4202082157135,-0.00,-0.00,0.01
21.97914409637451,0.01,-0.00,0.00
22.425079584121704,0.00,-0.00,-0.00
22.987432956695557,-0.00,-0.00,-0.00
23.433341026306152,0.00,-0.00,-0.00
23.99491286277771,0.00,-0.00,0.00
24.4410502910614,0.00,-0.00,0.00
25.001558542251587,0.00,-0.00,0.01
25.44761371612549,-0.00,0.00,-0.02
26.014049291610718,0.01,-0.00,0.00
26.493318796157837,0.01,-0.00,0.00
26.964186429977417,-0.00,-0.00,0.00
27.42010474205017,0.01,-0.00,-0.01
27.975107192993164,0.00,-0.00,-0.00
28.469157457351685,-0.00,0.00,0.01
29.14792490005493,0.01,-0.00,0.01
29.484376192092896,-0.00,-0.00,0.01
