Time(s),Force_X,Force_Y(N),Force_Z
0.4079098701477051,0.00,0.00,0.00
2.458033323287964,-0.01,-0.01,0.03
2.568713903427124,0.00,-0.00,-0.00
2.6800363063812256,-0.00,0.01,0.00
2.7952988147735596,-0.00,-0.00,0.00
2.904944658279419,-0.00,-0.00,0.01
3.0163166522979736,-0.00,-0.00,-0.00
3.4618043899536133,0.01,0.00,-0.02
3.91101336479187,0.01,-0.00,0.01
4.469531297683716,-0.01,-0.00,-0.00
4.917582273483276,-0.01,0.00,0.01
5.476328134536743,0.00,-0.00,-0.01
5.925279855728149,0.00,0.00,0.01
6.483362197875977,-0.01,0.00,-0.00
6.934544801712036,-0.02,-0.00,0.00
7.492729425430298,-0.00,-0.00,0.00
7.938415288925171,-0.00,-0.00,-0.01
8.497618436813354,-0.01,-0.00,-0.01
8.9465651512146,-0.01,0.00,-0.00
9.50663423538208,-0.00,-0.00,0.01
9.953787088394165,-0.00,0.00,0.01
10.5144362449646,-0.01,-0.00,0.01
10.959942817687988,-0.01,-0.00,-0.02
11.410888433456421,-0.01,-0.00,0.00
11.967339038848877,-0.01,-0.00,-0.00
12.416569709777832,-0.01,-0.00,0.01
12.974230289459229,-0.01,-0.00,-0.01
13.423147916793823,-0.01,0.00,-0.01
13.981484174728394,-0.02,-0.00,0.00
14.430407285690308,-0.02,-0.00,0.01
14.988511323928833,-0.01,-0.00,-0.00
15.437678098678589,-0.01,-0.00,-0.01
15.995512962341309,-0.02,-0.00,0.00
16.44465136528015,-0.02,0.00,-0.01
17.002812385559082,-0.01,-0.00,-0.01
17.451704025268555,-0.01,0.00,-0.00
18.009777307510376,-0.02,-0.00,0.02
18.45905590057373,-0.02,-0.00,-0.00
18.90703582763672,-0.02,-0.00,0.01
19.468384981155396,-0.01,-0.00,-0.01
19.914488077163696,-0.00,-0.00,-0.01
20.473242044448853,-0.02,-0.00,-0.00
20.921194076538086,-0.02,0.00,0.00
21.480302095413208,-0.01,0.01,-0.00
21.9283127784729,-0.01,0.00,0.00
22.48665690422058,-0.01,-0.00,0.01
22.935585021972656,-0.02,0.00,-0.01
23.493659496307373,-0.01,-0.01,0.01
23.944602012634277,-0.02,-0.00,-0.02
24.501790046691895,-0.02,-0.01,-0.01
24.949848651885986,-0.02,0.00,-0.00
25.507915019989014,-0.00,-0.00,0.01
25.956825256347656,-0.01,-0.00,-0.00
26.404897689819336,-0.01,0.00,0.00
26.966461658477783,-0.03,-0.00,-0.01
27.410090923309326,-0.01,-0.00,0.00
27.97142267227173,-0.03,0.00,-0.18
28.417481184005737,-0.02,0.02,-0.54
28.978251218795776,0.01,0.02,-1.15
29.424325466156006,0.03,0.02,-1.74
29.985235452651978,0.06,0.02,-2.19
30.431540727615356,0.07,0.03,-2.29
30.992449522018433,0.06,0.03,-2.24
31.44052219390869,0.06,0.04,-2.12
32.001442432403564,0.06,0.04,-1.93
32.44777750968933,0.05,0.01,-1.74
33.00668120384216,0.05,0.02,-1.64
33.454721450805664,0.05,0.02,-1.59
34.014055490493774,0.05,0.03,-1.54
34.46169972419739,0.04,0.03,-1.53
34.907761335372925,0.04,0.03,-1.51
35.469422340393066,0.05,0.03,-1.49
35.9154589176178,0.05,0.03,-1.48
36.47592878341675,0.04,0.03,-1.48
36.921977281570435,0.04,0.03,-1.49
37.48205637931824,0.04,0.03,-1.48
37.929243326187134,0.05,0.03,-1.49
38.49015927314758,0.04,0.03,-1.49
38.9383704662323,0.05,0.03,-1.49
39.49740386009216,0.05,0.03,-1.50
39.92848062515259,0.05,0.03,-1.50
40.48875856399536,0.05,0.03,-1.50
40.94042134284973,0.05,0.03,-1.50
41.49361753463745,0.05,0.03,-1.51
41.94284629821777,0.05,0.03,-1.50
42.48780131340027,0.05,0.03,-1.50
42.919562339782715,0.05,0.03,-1.50
43.477845668792725,0.05,0.03,-1.50
43.924028396606445,0.05,0.03,-1.50
44.484848976135254,0.05,0.03,-1.50
44.932957887649536,0.05,0.03,-1.50
45.489999532699585,0.05,0.03,-1.50
45.93925213813782,0.05,0.03,-1.50
46.50033378601074,0.05,0.03,-1.50
46.9473876953125,0.05,0.03,-1.50
47.506431579589844,0.05,0.03,-1.50
47.93843865394592,0.05,0.03,-1.50
48.482503175735474,0.05,0.03,-1.50
48.91738772392273,0.05,0.03,-1.51
49.44174599647522,0.06,0.03,-1.51
49.98344659805298,0.06,0.03,-1.50
50.41738843917847,0.06,0.03,-1.71
50.975552558898926,0.06,0.03,-1.92
51.42274856567383,0.06,0.01,-2.01
51.98294949531555,-0.40,-0.20,-1.91
52.50909209251404,-0.72,-0.38,-2.16
52.93989562988281,-0.48,-0.34,-2.07
53.5009880065918,-0.55,-0.36,-1.81
53.93321371078491,-0.65,-0.42,-1.97
54.47727704048157,-0.67,-0.41,-2.16
54.92314124107361,-0.69,-0.41,-2.14
55.46768379211426,-0.68,-0.37,-2.05
55.9952175617218,-0.71,-0.33,-1.84
56.428444623947144,-0.99,-0.40,-1.87
56.98753380775452,-1.32,-0.55,-2.28
57.433069705963135,-1.23,-0.89,-2.35
57.99350357055664,-1.20,-1.14,-2.52
58.439507722854614,-0.49,-0.58,-2.22
59.00841498374939,-0.35,-0.45,-1.96
