Time(s),channel0,channel1,channel2,channel3,channel4,channel5,channel6,channel7
0.8072612285614014,2.00152e-06,0,0,0,0,0,0,0
0.8859539031982422,2.00152e-06,2.01344e-06,0,0,0,0,0,0
0.982203483581543,2.00152e-06,2.01344e-06,2.02656e-06,2.02298e-06,0,0,0,0
1.494018793106079,1.95742e-06,1.92642e-06,2.06113e-06,1.95384e-06,2.01941e-06,1.98483e-06,0,0
1.9895830154418945,2.01106e-06,2.03252e-06,1.96338e-06,1.98007e-06,1.96099e-06,2.07901e-06,0,0
2.4531056880950928,1.99437e-06,1.91927e-06,1.90854e-06,2.05159e-06,1.97291e-06,1.96099e-06,0,0
2.96938157081604,1.93715e-06,1.98483e-06,1.96457e-06,1.94073e-06,1.99676e-06,1.93715e-06,0,0
3.459038496017456,1.92285e-06,1.90854e-06,1.98841e-06,1.94073e-06,1.8394e-06,1.8847e-06,0,0
3.9552125930786133,1.89781e-06,1.91212e-06,1.92881e-06,1.93238e-06,1.96218e-06,1.92404e-06,0,0
4.498287677764893,1.93357e-06,1.9002e-06,1.94669e-06,1.96815e-06,2.01106e-06,1.95861e-06,0,0
4.962085485458374,1.9145e-06,1.92046e-06,1.99318e-06,1.98126e-06,1.89185e-06,1.96218e-06,0,0
5.4733452796936035,1.99795e-06,1.98483e-06,1.92642e-06,1.88351e-06,1.94907e-06,1.97649e-06,0,0
5.9686279296875,1.98483e-06,1.9598e-06,1.93715e-06,1.92165e-06,1.94311e-06,1.93954e-06,0,0
6.4813807010650635,1.94907e-06,1.97053e-06,1.93954e-06,1.96218e-06,2.00987e-06,1.93715e-06,0,0
6.954351902008057,1.97172e-06,2.01583e-06,1.97649e-06,1.95384e-06,1.99199e-06,2.00152e-06,0,0
7.4555816650390625,1.98603e-06,1.9598e-06,1.95384e-06,1.90496e-06,1.89304e-06,2.02179e-06,0,0
7.967555284500122,1.94073e-06,1.93119e-06,1.9896e-06,1.99437e-06,1.98722e-06,1.95265e-06,0,0
8.483301639556885,1.93596e-06,1.91212e-06,1.98483e-06,1.98483e-06,1.98722e-06,1.94669e-06,0,0
8.973658084869385,1.98126e-06,1.98841e-06,1.98245e-06,2.05398e-06,1.93357e-06,1.93596e-06,0,0
9.4862642288208,2.0349e-06,1.95265e-06,2.05159e-06,1.96099e-06,1.95742e-06,2.03729e-06,0,0
9.99090051651001,1.97291e-06,1.97649e-06,1.99318e-06,1.97411e-06,2.00391e-06,2.02894e-06,0,0
10.491928100585938,2.03133e-06,1.99914e-06,1.95146e-06,2.03967e-06,2.03967e-06,1.98603e-06,0,0
10.955729484558105,1.98603e-06,1.94669e-06,1.98603e-06,1.9896e-06,2.00152e-06,2.00152e-06,0,0
11.499574661254883,2.05874e-06,1.98483e-06,1.96934e-06,2.00748e-06,2.00272e-06,1.97053e-06,0,0
11.962257862091064,1.91808e-06,1.95622e-06,2.00391e-06,1.95146e-06,1.90735e-06,1.92881e-06,0,0
12.477870464324951,1.97053e-06,1.92761e-06,2.00868e-06,1.90973e-06,1.89424e-06,1.87159e-06,0,0
12.969429016113281,1.90496e-06,1.88828e-06,1.90496e-06,1.98483e-06,2.00868e-06,1.90258e-06,0,0
13.481452226638794,1.96815e-06,1.98722e-06,1.97887e-06,1.98841e-06,1.95146e-06,2.01464e-06,0,0
13.992673397064209,1.98245e-06,1.96815e-06,1.89781e-06,1.94311e-06,1.95146e-06,1.89066e-06,0,0
14.488286018371582,1.98126e-06,1.96338e-06,1.91569e-06,1.88351e-06,1.96695e-06,1.88231e-06,0,0
14.99978756904602,1.97053e-06,1.98722e-06,1.95861e-06,1.92404e-06,1.94669e-06,1.96815e-06,0,0
15.46882939338684,1.88947e-06,1.91808e-06,1.92046e-06,1.98245e-06,1.92881e-06,1.93834e-06,0,0
15.91116213798523,1.96934e-06,1.97411e-06,1.93477e-06,1.87159e-06,1.97411e-06,1.92642e-06,0,0
16.469926118850708,1.91092e-06,1.9455e-06,1.93834e-06,1.91212e-06,1.90616e-06,1.89185e-06,0,0
16.965698719024658,1.93596e-06,1.92881e-06,1.899e-06,1.92404e-06,1.88708e-06,1.88828e-06,0,0
17.478246688842773,1.93954e-06,1.95026e-06,1.94669e-06,1.95742e-06,1.93238e-06,1.92761e-06,0,0
17.988532066345215,1.93954e-06,1.91569e-06,1.91569e-06,1.899e-06,1.96218e-06,1.94192e-06,0,0
18.484503746032715,1.90973e-06,1.9443e-06,1.89662e-06,1.89662e-06,1.92523e-06,1.9002e-06,0,0
18.995755195617676,1.94669e-06,1.89662e-06,1.92523e-06,1.90616e-06,1.94907e-06,1.86205e-06,0,0
19.465486764907837,1.87039e-06,1.93119e-06,1.87278e-06,1.89424e-06,1.96099e-06,1.93119e-06,0,0
19.954588413238525,1.86682e-06,1.86682e-06,1.92404e-06,1.93715e-06,2.0051e-06,1.92165e-06,0,0
20.4665744304657,1.91212e-06,1.99437e-06,1.94907e-06,1.89304e-06,1.94192e-06,1.96934e-06,0,0
20.983095407485962,1.96815e-06,1.92642e-06,1.91689e-06,1.99556e-06,1.99318e-06,1.98007e-06,0,0
21.474655866622925,1.95503e-06,1.91808e-06,1.95265e-06,2.03729e-06,2.01702e-06,1.93119e-06,0,0
21.98550248146057,1.9455e-06,1.98841e-06,2.04802e-06,1.94907e-06,1.97172e-06,1.98364e-06,0,0
22.49058175086975,1.97887e-06,1.90616e-06,1.92881e-06,1.94192e-06,1.9443e-06,1.93357e-06,0,0
22.992984294891357,2.05398e-06,2.03252e-06,1.97291e-06,1.94907e-06,1.94073e-06,1.99556e-06,0,0
23.455923795700073,1.90496e-06,1.99676e-06,1.97172e-06,1.97411e-06,1.92046e-06,1.96099e-06,0,0
23.998537302017212,1.98245e-06,2.00033e-06,1.99437e-06,1.93e-06,1.87397e-06,1.92165e-06,0,0
