Time(s),channel0,channel1,channel2,channel3,channel4,channel5,channel6,channel7
1.0996897220611572,1.3411e-06,0,0,0,0,0,0,0
1.1861233711242676,1.3411e-06,1.36495e-06,0,0,0,0,0,0
1.2343463897705078,1.3411e-06,1.36495e-06,1.40786e-06,0,0,0,0,0
1.4897143840789795,1.40309e-06,1.40786e-06,1.40786e-06,1.43886e-06,1.39117e-06,1.41144e-06,0,0
1.9863307476043701,1.46747e-06,1.45197e-06,1.45555e-06,1.40905e-06,1.44482e-06,1.48058e-06,0,0
2.497420310974121,1.45555e-06,1.43051e-06,1.42217e-06,1.47223e-06,1.41501e-06,1.35899e-06,0,0
2.9659173488616943,1.39356e-06,1.38044e-06,1.42813e-06,1.40429e-06,1.34349e-06,1.40429e-06,0,0
3.4563698768615723,1.4317e-06,1.44362e-06,1.44124e-06,1.41382e-06,1.42097e-06,1.44243e-06,0,0
3.9678289890289307,1.4317e-06,1.45316e-06,1.44362e-06,1.35303e-06,1.38164e-06,1.42336e-06,0,0
4.484179735183716,1.4019e-06,1.44243e-06,1.46151e-06,1.41382e-06,1.44482e-06,1.49846e-06,0,0
4.974864959716797,1.41501e-06,1.43051e-06,1.47343e-06,1.45912e-06,1.39713e-06,1.41978e-06,0,0
5.4858558177948,1.36495e-06,1.39594e-06,1.41025e-06,1.46389e-06,1.44839e-06,1.38879e-06,0,0
5.992285251617432,1.35779e-06,1.33753e-06,1.42336e-06,1.4174e-06,1.3876e-06,1.37329e-06,0,0
6.493832111358643,1.35422e-06,1.38044e-06,1.39952e-06,1.42574e-06,1.3411e-06,1.3876e-06,0,0
6.9562132358551025,1.37687e-06,1.34945e-06,1.3876e-06,1.4019e-06,1.4019e-06,1.33395e-06,0,0
7.499835014343262,1.40548e-06,1.36852e-06,1.4019e-06,1.44958e-06,1.48177e-06,1.38283e-06,0,0
7.962890148162842,1.43766e-06,1.44601e-06,1.39236e-06,1.35779e-06,1.4627e-06,1.45555e-06,0,0
8.474967956542969,1.40786e-06,1.40429e-06,1.41859e-06,1.3876e-06,1.4174e-06,1.41859e-06,0,0
8.986230373382568,1.43886e-06,1.4329e-06,1.38164e-06,1.35064e-06,1.35779e-06,1.42813e-06,0,0
9.499696493148804,1.37329e-06,1.33991e-06,1.42813e-06,1.37448e-06,1.38164e-06,1.40905e-06,0,0
9.967399597167969,1.43766e-06,1.41501e-06,1.47104e-06,1.43886e-06,1.48177e-06,1.45316e-06,0,0
10.456673860549927,1.40429e-06,1.41501e-06,1.38283e-06,1.43409e-06,1.41144e-06,1.38879e-06,0,0
10.968287229537964,1.39594e-06,1.42694e-06,1.3721e-06,1.39713e-06,1.44005e-06,1.43051e-06,0,0
11.487048387527466,1.48177e-06,1.4627e-06,1.38283e-06,1.41501e-06,1.42336e-06,1.42336e-06,0,0
11.974980592727661,1.40905e-06,1.4174e-06,1.4472e-06,1.40667e-06,1.40309e-06,1.39594e-06,0,0
12.48752498626709,1.41501e-06,1.41978e-06,1.45197e-06,1.47104e-06,1.4317e-06,1.42336e-06,0,0
12.991983890533447,1.41025e-06,1.42455e-06,1.46985e-06,1.42694e-06,1.39952e-06,1.44482e-06,0,0
13.492934465408325,1.41501e-06,1.45316e-06,1.42932e-06,1.42097e-06,1.3876e-06,1.45435e-06,0,0
